Python 2.7.12 (v2.7.12:d33e0cf91556, Jun 27 2016, 15:19:22) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> 
========================= RESTART: E:/Hara/cek_ov.py =========================
2,overlaps,487
3,overlaps,4
3,overlaps,52
3,overlaps,53
3,overlaps,54
3,overlaps,55
3,overlaps,56
3,contains,57
3,overlaps,69
3,contains,70
3,overlaps,71
3,contains,72
3,contains,73
3,overlaps,74
3,contains,76
4,overlaps,52
4,overlaps,53
4,overlaps,54
4,overlaps,55
4,overlaps,56
4,overlaps,57
4,overlaps,69
4,overlaps,70
4,overlaps,71
4,overlaps,72
4,overlaps,73
4,overlaps,74
4,overlaps,76
5,overlaps,92
6,overlaps,158
7,overlaps,248
7,equals,256
7,contains,256
9,equals,253
9,contains,253
10,equals,12
10,contains,12
14,overlaps,770
14,overlaps,771
15,overlaps,183
15,overlaps,187
19,equals,20
19,contains,20
19,equals,84
19,contains,84
20,equals,84
20,contains,84
21,overlaps,88
21,overlaps,417
21,overlaps,420
21,overlaps,597
23,overlaps,419
25,overlaps,381
25,overlaps,382
30,equals,585
30,contains,585
32,overlaps,68
33,overlaps,38
33,overlaps,647
34,overlaps,37
34,overlaps,736
35,overlaps,735
36,overlaps,770
36,overlaps,771
38,overlaps,39
38,overlaps,647
39,overlaps,649
40,contains,135
40,contains,136
43,overlaps,530
44,overlaps,536
45,overlaps,46
46,overlaps,109
47,overlaps,139
48,overlaps,497
48,overlaps,504
48,overlaps,657
51,equals,62
51,contains,62
51,equals,64
51,contains,64
52,overlaps,53
52,overlaps,54
52,overlaps,55
52,overlaps,56
52,overlaps,57
52,overlaps,69
52,overlaps,70
52,overlaps,71
52,overlaps,72
52,overlaps,73
52,overlaps,74
52,overlaps,76
53,overlaps,54
53,overlaps,55
53,overlaps,56
53,overlaps,57
53,overlaps,69
53,overlaps,70
53,overlaps,71
53,overlaps,72
53,overlaps,73
53,overlaps,74
53,overlaps,76
54,overlaps,55
54,overlaps,56
54,overlaps,57
54,overlaps,69
54,overlaps,70
54,overlaps,71
54,overlaps,72
54,overlaps,73
54,overlaps,74
54,contains,76
55,equals,56
55,contains,56
55,overlaps,57
55,overlaps,69
55,overlaps,70
55,overlaps,71
55,overlaps,72
55,overlaps,73
55,overlaps,74
55,overlaps,76
56,overlaps,57
56,overlaps,69
56,overlaps,70
56,overlaps,71
56,overlaps,72
56,overlaps,73
56,overlaps,74
56,overlaps,76
57,overlaps,69
57,overlaps,70
57,overlaps,71
57,overlaps,72
57,overlaps,73
57,overlaps,74
57,overlaps,76
59,overlaps,690
60,overlaps,504
61,overlaps,285
62,equals,64
62,contains,64
63,overlaps,123
68,overlaps,129
69,overlaps,70
69,overlaps,71
69,overlaps,72
69,overlaps,73
69,overlaps,74
69,overlaps,76
70,overlaps,71
70,overlaps,72
70,overlaps,73
70,overlaps,74
70,contains,76
71,overlaps,72
71,overlaps,73
71,overlaps,74
71,overlaps,76
72,overlaps,73
72,overlaps,74
72,overlaps,76
73,overlaps,74
73,overlaps,76
74,overlaps,76
78,overlaps,656
88,overlaps,417
88,overlaps,597
88,overlaps,759
91,overlaps,598
91,overlaps,656
95,overlaps,96
97,overlaps,650
101,overlaps,536
103,overlaps,697
104,overlaps,146
105,overlaps,154
107,overlaps,320
110,overlaps,408
110,overlaps,459
110,overlaps,537
110,overlaps,556
111,overlaps,114
111,overlaps,460
114,overlaps,804
115,overlaps,119
115,overlaps,698
118,overlaps,458
125,overlaps,200
128,overlaps,479
129,overlaps,361
143,overlaps,144
