a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\11. Banten 2012\2012\Laporan Akhir WP3WT 2012\SHP\Tirtayasa\pemanfaatan.shp,['FID'.'PMANFAATAN'],1,Pesisir,2012,Banten,,Kecamatan Tirtayasa,,PMANFAATAN,,Tirtayasa,Tirtayasa
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\11. Banten 2014\Kecamatan Wanasalam\SHP\pemanfaatan_wanasalam_utm.shp,['FID'.'Penggnaan'.'Kode_jenis'.'Lasan'.'Pemanfaata'],1,Pesisir,2014,Banten,,Kecamatan Wanasalam,,Pemanfaata,,Wanasalam,Wanasalam
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\11. Banten 2014\Kecamatan Malingping\SHP\pemanfaatan_malingping_utm.shp,['FID'.'PROVINSI'.'KECAMATAN'.'DESA'.'KABKOT'.'Penggnaan'.'Toponimi'.'pemanfaata'],1,Pesisir,2014,Banten,,Kecamatan Malingping,,pemanfaata,,Malingping,Malingping
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\11. Banten 2014\Kecamatan Cihara\SHP\PEMANFAATAN_CIHARA_UTM.shp,['FID'.'KECAMATAN'.'KABUPATEN'.'PROVINSI'.'NEGARA'.'IBU_KABU'.'Penggnaan'.'Toponimi'.'Pemanfaata'],1,Pesisir,2014,Banten,,Kecamatan Cihara,,Pemanfaata,,Cihara,Cihara
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\11. Banten 2014\Kecamatan Bayah\SHP\PEMANFAATAN_BAYAH_UTM.shp,['FID'.'Penggnaan'.'KODE'.'Pemanfaata'],1,Pesisir,2014,Banten,,Kecamatan Bayah,,Pemanfaata,,Bayah,Bayah
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\12. DKI 2011\SHP\Pulau Bidadari\pulau bidadari pemanfaatan tanah.shp,['FID'.'NO_IDENT'.'PULAU'.'KODE_JENIS'.'JENIS_PENG'.'PEMANFAATA'.'AREA'.'PERIMETER'.'HECTARES'.'KETERANGAN'],1,Pulau,2011,Jakarta,,Pulau Bidadari,,PEMANFAATA,,Bidadari,Bidadari
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\12. DKI 2011\SHP\Pulau Untung Jawa\pulau untung jawa pemanfaatan tanah.shp,['FID'.'AREA'.'HECTARES'.'NOMOR'.'ALAMAT_BID'.'NAMA'.'KEWARGANEG'.'PROFESI'.'CODE_PROFE'.'DOMISILI'.'KODE_JENIS'.'KETERANG_3'.'JENIS_PENG'.'PEMANFAATA'],1,Pulau,2011,Jakarta,,Pulau Untung Jawa,,PEMANFAATA,,Untung Jawa,Untung Jawa
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU AYER\Pemanfaatan\pulau ayer pemanfaatan.shp,['FID'.'KELURAHAN'.'AREA'.'PERIMETER'.'HECTARES'.'NOMOR_IDEN'.'PULAU'.'JENIS_PENG'.'PEMANFAATA'.'KETERANGAN'],1,Pulau,2012,Jakarta,,Pulau Ayer,,PEMANFAATA,,Ayer,Ayer
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU LAKI\Pemanfaatan\pulau laki pemanfaatan.shp,['FID'.'KELURAHAN'.'PULAU'.'AREA'.'PERIMETER'.'HECTARES'.'NOMOR_IDEN'.'KODE_JENIS'.'PEMANFAATA'.'KETERANGAN'],1,Pulau,2012,Jakarta,,Pulau  Laki,,PEMANFAATA,, Laki, Laki
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU LANCANG\Pemanfaatan\pulau lancang pemanfaatan.shp,['FID'.'NOMOR'.'IDENT'.'NOMOR_URUT'.'PULAU'.'KODE_JENIS'.'PEMANFAATA'.'KETERANGAN'.'AREA'.'PERIMETER'.'HECTARES'],1,Pulau,2012,Jakarta,,Pulau Lancang,,PEMANFAATA,,Lancang,Lancang
