a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau
,F:\WP3WT\PPKT\SHP\Simuk\pemilikan.shp,"['FID','ID','AREA','PERIMETER','STATUS','TEXTSTRING']",1,Pulau Kecil,2016,Sumatera Utara,,Kecamatan Simuk,,STATUS,,Simuk,Simuk
,F:\WP3WT\PPKT\SHP\Berhala\Geodata.gdb\Berhala\Berhala_pemilikan,"['OID','Id_GPS','Keterangan','Pemilikan']",1,Pulau Kecil,2016,Sumatera Utara,,Kecamatan Berhala,,Pemilikan,,Berhala,Berhala
,F:\WP3WT\@ Integrasi Data\2013\4 Riau\2013\Kabupaten Bengkalis\Kecamatan Bukit Batu\pmn_bukitBatu.shp,"['FID','objID','objType','objYear','wapName','wakName','wacName','pmnID','pmnObjName','area','pmnRemark']",1,Pesisir,2013,Riau,,Kecamatan Bukit Batu,,pmnObjName,,Bukit Batu,Bukit Batu
,F:\WP3WT\@ Integrasi Data\2013\4 Riau\2013\Kabupaten Bengkalis\Kecamatan Siak Kecil\pmn_siakKecil.shp,"['FID','objID','objType','objYear','wapName','wakName','wacName','pmnID','pmnObjName','area','pmnRemark']",1,Pesisir,2013,Riau,,Kecamatan Siak Kecil,,pmnObjName,,Siak Kecil,Siak Kecil
,F:\WP3WT\@ Integrasi Data\2013\4 Riau\2013\Kabupaten Meranti\Kecamatan Rangsang Barat\pmn_rangsangBarat.shp,"['FID','objID','objType','objYear','wapName','wakName','wacName','pmnID','pmnObjID','area','pmnRemarks']",1,Pesisir,2013,Riau,,Kecamatan Rangsang Barat,pmnID,,,Rangsang Barat,Rangsang Barat
,F:\WP3WT\@ Integrasi Data\2013\4 Riau\2013\Kabupaten Meranti\Kecamatan Tebing Tinggi Timur\pmn_tebingtinggiTimur.shp,"['FID','objID','objType','objYear','wapName','wakName','wacName','pmnID','pmnObjID','area','pmnRemarks']",1,Pesisir,2013,Riau,,Kecamatan Tebing Tinggi Timur,pmnID,,,Tebing Tinggi Timur,Tebing Tinggi Timur
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\RIAU\SHP\Kec. Kuala Kampar\pmn_Kuala_Kampar.shp,"['FID','DESA','KECAMATAN','Pemilikan','Las','Area','ObjID','ObjType','Objyear','wapName','wakName','pmnId','pmnRemarks']",1,Pesisir,2017,Riau,,Kecamatan Kuala Kampar,,Pemilikan,,Kuala Kampar,Kuala Kampar
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\RIAU\SHP\Kec. Sabak Auh\pmn_Sabak Auh Area1.shp,"['FID','DESA_1','pmnObjName','pmnID','Area_1','wapName','wakName','wacName']",1,Pesisir,2017,Riau,,Kecamatan Sabak Auh,,pmnObjName,,Sabak Auh,Sabak Auh
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\RIAU\SHP\Kec. Sungai Apit\pmn_Sungai Apit_Area update 412018.shp,"['FID','DESA_1','pmnObjName','pmnID','Area_1','wapName_1','wakName_1','wacName_1']",1,Pesisir,2017,Riau,,Kecamatan Sungai Apit,,pmnObjName,,Sungai Apit,Sungai Apit
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\RIAU\SHP\Kec. Teluk Meranti\pmn_TelukMerantifix.shp,"['FID','ObjID','objType','objYear','wapName','wakName','wacName','pmnID','pmnRemarks','pmnObjName','Las','DESA_1']",1,Pesisir,2017,Riau,,Kecamatan Teluk Meranti,,pmnObjName,,Teluk Meranti,Teluk Meranti
,C:\WP3WT\new_data\SHP-WP3WT-SUMSEL-2015sd2017\2016\PKT 2016\Pulau Maspari\Shp\Pemilikan_Tanah_Maspari.shp,"['FID','Nama','No_Identif','Penggnaan','Keterangan','Las_M2','Las_Ha','Kode_Pemil','Pemilikan']",1,Pulau Kecil,2016,Sumatera Selatan,,Kecamatan Pulau Maspari,Kode_Pemil,Pemilikan,,Pulau Maspari,Pulau Maspari
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\7. Bengkulu\WP3WT_BENGKULU_2016\2 KECAMATAN KOTA MUKOMUKO\PETA\PETA-P4T\P_KOTA_diss.shp,"['FID','Aname','Pemilikan','Kode','Hectares']",1,Pesisir,2016,Bengkulu,,Kecamatan Kota Muko-Muko,Kode,Pemilikan,,Kota Muko-Muko,Kota Muko-Muko
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\04 04 2012\WP3WT2011LAMPUNG\PESISIR KOTA AGUNG\pemilikan.shp,"['FID','Pemilikan']",1,Pesisir,2011,Lampung,,Kecamatan Kota Agung,Pemilikan,,,Kota Agung,Kota Agung
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\21 11 2012\Laporan Pesisir 2011 Lampung\peta\PESISIR KOTA AGUNG BARAT 2011\pemilikan.shp,"['FID','pemilikan']",1,Pesisir,2011,Lampung,,Kecamatan Kota Agung Barat,pemilikan,,,Kota Agung Barat,Kota Agung Barat
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\21 11 2012\Laporan Pesisir 2011 Lampung\peta\PESISIR SEMAKA 2011\pemilikan.shp,"['FID','pemilikan','ket']",1,Pesisir,2011,Lampung,,Kecamatan Semaka,pemilikan,,,Semaka,Semaka
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\21 11 2012\Laporan Pesisir 2011 Lampung\peta\PESISIR WONOSOBO 2011\pemilikan.shp,"['FID','pemilikan','ket']",1,Pesisir,2011,Lampung,,Kecamatan Wonosobo,pemilikan,,,Wonosobo,Wonosobo
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\11. Banten 2013\20 11 2013\2013\PANDEGLANG\SHP\CIGEULIS\PEMILIKAN_CIGEULIS.shp,"['FID','Id','Las','Pengasaan','Kode_kasa','Pemilikan','Ket_1','Ket_2','Kode_milik','Las_Ha']",1,Pesisir,2013,Banten,,Kecamatan Cigeulis,Kode_milik,,,Cigeulis,Cigeulis
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\11. Banten 2014\Kecamatan Cilograng\SHP\PEMILIKAN_CILOGRANG_UTM.shp,"['FID','Keterangan','Lasan','Pemilik','PROVINSI','KECAMATAN','DESA','SUMBER','KODE2010','KABKOT','Kode']",1,Pesisir,2014,Banten,,Kecamatan Cilograng,,Pemilik,,Cilograng,Cilograng
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\16. Jatim 2011\Pulau Kecil Terluar\SHP\nusabarong atau barung\pemilikan.shp,"['FID','AREA','PERIMETER','HECTARES','ID','PEMILIKAN']",1,Pulau Kecil,2017,Jawa Timur,,Kecamatan Nusabarong,,PEMILIKAN,,Nusabarong,Nusabarong
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\16. Jatim 2011\Pulau Kecil Terluar\SHP\panehan\pemilikan.shp,"['FID','ID','PEMILIKAN']",1,Pulau Kecil,2017,Jawa Timur,,Kecamatan Panehan,,PEMILIKAN,,Panehan,Panehan
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\16. Jatim 2011\Pulau Kecil Terluar\SHP\sekel\pemilikan.shp,"['FID','KECAMATAN','KABUPATEN','AREA','PERIMETER','HECTARES','PULAU','ID','PEMILIKAN']",1,Pulau Kecil,2017,Jawa Timur,,Kecamatan Sekel,,PEMILIKAN,,Sekel,Sekel
,C:\@LAPORAN DAERAH 2017\Jatim_4SP\Laporan Pesisir Sangkapura\shp\PMN_Sangkapura.shp,"['FID','objID','objType','objYear','wapName','wakName','wacName','wadName','pmnID','pmnObjName','Area','pmnRemark']",1,Pesisir,2017,Jawa Timur,,Kecamatan Sangkapura,,pmnObjName,,Sangkapura,Sangkapura
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec ALAS kab sumbawa\Hasil_Milik_Alas.shp,"['FID','NIB','Kd_Milik','Milik_Teks','Shape_Area']",1,Pesisir,2016,NTB,,Kecamatan Alas,Kd_Milik,,,Alas,Alas
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec BUER kab sumbawa\Hasil_Milik_Buer.shp,"['FID','No_Bidang','Kd_Milik','Teks_milik','Shape_Area']",1,Pesisir,2016,NTB,,Kecamatan Buer,Kd_Milik,,,Buer,Buer
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec RHEE kab sumbawa\pemilikan_tanah_rhee.shp,"['FID','KETERANGAN','Kode_LU','NIB','ket_kd_LU','kode_ka','ket_kd_ka','Color','Kode_Milik','ket_kd_mil']",1,Pesisir,2016,NTB,,Kecamatan Rhee,Kode_Milik,,,Rhee,Rhee
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec LAB BADAS kab sumbawa\pemilikan_tanah_lab_badas.shp,"['FID','KETERANGAN','Kode_LU','NIB','Ket_kd_l','Kode_KUA','ket_kd_ka','kd_milik','ket_kd_mil']",1,Pesisir,2016,NTB,,Kecamatan Labuhan Badas,kd_milik,,,Labuhan Badas,Labuhan Badas
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec SUMBAWA BESAR kab sumbawa\pemilikan_tanah_sumb_besar.shp,"['FID','Kode_LU','NIB','ket_kd_l','kode_ka','ket_kd_ka','kd_milik','ket_kd_mil']",1,Pesisir,2016,NTB,,Kecamatan Sumbawa,kd_milik,,,Sumbawa,Sumbawa
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec MOYO UTARA kab sumbawa\pemilikan_tanah_moyo_utara.shp,"['FID','kd_','KETERANGAN','kd_l','NIB','Ket_kd_l','kd_ka','ket_kd_ka','kd_milik','ket_kd_mil']",1,Pesisir,2016,NTB,,Kecamatan Moyo Utara,kd_milik,,,Moyo Utara,Moyo Utara
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\18. NTB 2016\3_SHP WP3WT 2016\kec MOYO HILIR kab sumbawa\pemilikan_tanah_moyo_hilir.shp,"['FID','KETERANGAN','KOde_LU','NIB','Keterang_1','Ket_kd_LU','kode_KUA','ket_kd_ka','Color','kd_Milik','Ket_kd_Mil','Shape_Area']",1,Pesisir,2016,NTB,,Kecamatan Moyo Hilir,kd_Milik,,,Moyo Hilir,Moyo Hilir
,C:\@LAPORAN DAERAH 2017\NTB_4SP\3_SHP WP3WT 2017\Kec LABANGKA Kab. Sumbawa\shp\Kecamatan Labangka.gdb\pmn_Labangka,"['NoBID','RE_F','objID','objType','objYear','wapName','wakName','wacName','wadName','pmnID','pmnObjName','Area','pmnRemark','las','Shape_Area']",1,Pesisir,2016,NTB,,Kecamatan Labangka,,pmnObjName,,Labangka,Labangka
,C:\@LAPORAN DAERAH 2017\NTB_4SP\3_SHP WP3WT 2017\Kec LAPE Kab. Sumbawa\shp\Kecamatan Lape.gdb\pmn_lape,"['Keterangan','NIB','objID','objType','objYear','wapName','wakName','wacName','pmnID','pmnObjName','Area','pmnRemark','wadName','RE_F_1','las','Shape_Area']",1,Pesisir,2017,NTB,,Kecamatan Lape,,pmnObjName,,Lape,Lape
,C:\@LAPORAN DAERAH 2017\NTB_4SP\3_SHP WP3WT 2017\Kec MANRONGE Kab. Sumbawa\shp\Kecamatan Maronge.gdb\pmn_maronge,"['RE_F','Kode_LU','Keterangan','NIB','Kd_Milik','objID','objType','objYear','wapName','wakName','wacName','pmnID','pmnObjName','Area','pmnRemark','wadName','Shape_Area']",1,Pesisir,2017,NTB,,Kecamatan Manronge,kd_Milik,pmnObjName,,Manronge,Manronge
