a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\22. Kaltim 2013\04 12 2013\PKT 2013\Pesisir 2013\shp_pesisir_kuaro\pengguanaan_kuaro.shp,['FID'.'ID'.'KECAMATAN'.'AREA'.'PERIMETER'.'ACRES'.'HECTARES'.'penggnaan'],1,Pesisir,2013,Kalimantan Timur,,Kecamatan Kuaro,,penggnaan,,Kuaro,Kuaro
,C:\WP3WT\new_data\kaltim\PKT 2015\PESISIR PPU 2015\PETA\SHP\Analisa_Wilayah_Pesisir_Waru_PPU_Kaltim_2015.shp,['FID'.'FID_Batas'.'Nm_Kec'.'Nm_Kel_Des'.'FID_war_S'.'FID_War2'.'FID_Pesisi'.'PGT_2015'.'PENGUASAAN'.'PEMILIKAN'.'BIDOBJECT'.'Proses_Hak'.'PENGGUNAAN'.'Rekap'.'NAMA_HA'.'NAMA_HT'.'HGU_KANTAH'.'FID_PBT_WK'.'Id'.'NIB'.'WKP'.'FID_SK_718'.'SK_718'.'LUAS_HA'.'KESESUAIAN'.'KODE'],1,Pesisir,2015,Kalimantan Timur,,Kecamatan Waru,,PENGGUNAAN,,Waru,Waru
,C:\WP3WT\new_data\kaltim\PKT 2015\PESISIR PPU 2015\PETA\SHP\Analisa_Wilayah_Pesisir_Babulu_PPU_Kaltim_2015.shp,['FID'.'FID_Batas_'.'Id'.'Id_Kec'.'Id_Kel_Des'.'Nm_Kec'.'Nm_Kel_Des'.'Jml_Pend_K'.'Hectares'.'Keterangan'.'Jmlah_RT'.'Jmlah_KK'.'FID_Babl'.'FID_Pesisi'.'FID_Pesi_1'.'Nm_Kec_1'.'Nm_Kel_D_1'.'Rekap'.'PGT_2015'.'KWS'.'SK_718'.'IUP'.'PENGUASAAN'.'PEMILIKAN'.'BIDOBJECT'.'Proses_Hak'.'Jenis'.'Nama'.'KODE'.'FID_HGUKan'.'FID_'.'Entity'.'Layer'.'Color'.'Linetype'.'Elevation'.'LineWt'.'RefName'.'HGU'.'PEMILIKA_1'.'HGU_KANTAH'.'KESESUAIAN'],1,Pesisir,2015,Kalimantan Timur,,Kecamatan Babulu,,PGT_2015,,Babulu,Babulu
,C:\WP3WT\new_data\kaltim\PKT 2017\BENGALON_2017\SHP\Pesisir_Kecamatan_Muara_Jawa_2016.shp,['FID'.'NAMA_KEC'.'PGT_2016'.'StatsAwal'.'Stats_Des'.'KESESUAIAN'.'BIDOBJECT'.'BIDID'.'Proses_Hak'.'TERDAFTAR'.'SK_718'.'PEMILIKAN'.'PENGUASAAN'.'KODE'.'LUAS_HA'],1,Pesisir,2016,Kalimantan Timur,,Kecamatan Muara Jawa,,PGT_2016,,Muara Jawa,Muara Jawa
,C:\WP3WT\new_data\kaltim\PKT 2016\Laporan Pesisir 2016 Kukar\PETA_PESISIR_MARANGKAYU_2016\SHAPEFILE_MARANGKAYU_2016\marangkayu_pertanahan.shp,['FID'.'las'.'eva'.'admin_1'.'las_1'.'FID_Fngsi'.'Pola_nTBNG'.'BIDOBJECT'.'Proses_Hak'.'Persahaan'.'Lokasitb'.'Kegiatan'.'Tgl_Mlai'.'GROUP_DESC'.'DESKRIPSI'.'KETERANG_2'.'Layer'.'Layer_1'.'Pemilikan'.'Layer_12'.'Kode'.'L_2016'.'las_12'.'pengasaan'.'kode1'],1,Pesisir,2016,Kalimantan Timur,,Kecamatan Marang Kayu,,L_2016,,Marang Kayu,Marang Kayu
,C:\WP3WT\PPKT\SHP\P. Sambit\SHP\Penggunaan_region.shp,['FID'.'NO'.'IDENTIFIER'.'JENIS'.'KETERANGAN'],1,Pulau Kecil,2017,Kalimantan Timur,,Kecamatan Sambit,JENIS,,,Sambit,Sambit
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\24. Sulut 2010\04 05 2012\Pulau-Pulau (revisi maret)\Malo\malo_penggunaan.shp,['FID'.'NO_ID'.'KODE_PENGG'.'PENGGUNAAN'.'KETERANGAN'.'text'],1,Pulau,2010,Sulawesi Utara,,Pulau Malo,,PENGGUNAAN,,Malo,Malo
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\24. Sulut 2013\SHP 2013\Pulau Kecil\Pulau Gangga\P._Gangga_Penggunaan.shp,['IDENT'.'Dusun'.'pengguna_1'.'kode_guna'.'luas'],1,Pulau,2013,Sulawesi Utara,,Pulau Gangga,kode_guna,,,Gangga,Gangga
,C:\WP3WT\new_data\sulteng\PESISIR\WP3WT SOJOL UTARA\sojol utara\Penggunaan Tanah.shp,['FID'.'Id'.'ObjID'.'ObjType'.'ObjYear'.'wapName'.'wakName'.'wadName'.'ptnID'.'ptnObjName'.'area'.'ptnRemarks'],1,Pesisir,2017,Sulawesi Tengah,,Kecamatan Sojol Utara,,ptnObjName,,Sojol Utara,Sojol Utara
,C:\@LAPORAN DAERAH 2017\Sulawesi Tenggara_5SP\PESISIR PULAU TOWEA\Data SHP\ptn_towea.shp,['objID'.'objType'.'objYear'.'wapName'.'wakName'.'wacName'.'wadName'.'ptnID'.'ptnObjName'.'Area'.'ptnRemark'],1,Pulau Kecil,2017,Sulawesi Tenggara,,Kecamatan Pulau Towea,,ptnObjName,,Pulau Towea,Pulau Towea
