a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Deli\DATA\DELI\pemilikan_tanah_deli.shp,[''],2,Pulau,2017,Banten,,Pulau Deli,,,,Deli,Deli,,,,
,C:\WP3WT\PPKT\SHP\PULAU_SOPHIALOUISA\Pemilikan_Tanah_P_Sophialouisa.shp,[''],2,Pulau,2017,NTB,,Pulau Sophialouisa,,,,Sophialouisa,Sophialouisa,,,,
,C:\WP3WT\PPKT\SHP\Liki\Liki_Pemilikan.shp,[''],2,Pulau,2017,Papua,,Pulau Liki,,,,Liki,Liki,,,,
,C:\WP3WT\PPKT\SHP\nusabarong atau barung\pemilikan.shp,"['AREA', 'PERIMETER', 'HECTARES', 'ID', 'PEMILIKAN']",2,Pulau,2017,Jawa Timur,,Pulau NusaBarong,,,,NusaBarong,NusaBarong,,,,
,C:\WP3WT\PPKT\SHP\P  Iyu Kecil\pemilikan tanah final.shp,"['AREA', 'PERIMETER', 'ID', 'PENGGUNAAN', 'JENIS', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'PENGUASAAN', 'LUAS_M2_', 'ALAMAT_BID', 'TIPE_PEMIL', 'STATUS_TAN', 'HA', 'TIPE_TANAH', 'NO_ID', 'NAMA', 'HECTARES', 'milik_2011']",2,Pulau,2017,Kep Riau,,Pulau IyuKecil,,,,IyuKecil,IyuKecil,,,,
,C:\WP3WT\PPKT\SHP\Nongsa\P_Nongsa_Pemilikan.shp,"['FID_P_Nong', 'Id', 'Pemilikan', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau Nongsa,,,,Nongsa,Nongsa,,,,
,C:\WP3WT\PPKT\SHP\Pelampong\P_Pelampong_Pemilikan.shp,"['FID_P_Pela', 'Id', 'Pemilikan', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Pelampong,,,,Pelampong,Pelampong,,,,
,C:\WP3WT\PPKT\SHP\Peta Pulau Raya\Pemilikan_Tanah.shp,"['Id', 'Alamat_Bid', 'Tipe_milik', 'Nama_Milik', 'WN_Milik', 'Prof_Milik', 'Dom_Milik', 'Status_Tnh', 'Tipe_S_tnh', 'No_S_Tnh', 'Thn_S_Tnh', 'Thn_Kuasa', 'Luas_M2', 'Luas_Ha']",2,Pulau,2017,Aceh,,Pulau Raya,,,,Raya,Raya,,,,
,C:\WP3WT\PPKT\SHP\Simuk\Geo\pemilikan.shp,"['ID', 'AREA', 'PERIMETER', 'STATUS', 'TEXTSTRING']",2,Pulau,2017,Sumatera Utara,,Pulau Simuk,,,,Simuk,Simuk,,,,
,C:\WP3WT\PPKT\SHP\Wunga\Geo\pemilikan.shp,"['ID', 'AREA', 'PERIMETER', 'TEXTSTRING', 'pemilikan']",2,Pulau,2017,Sumatera Utara,,Pulau Wunga,,,,Wunga,Wunga,,,,
,C:\WP3WT\PPKT\SHP\Miangas\miangas_pemilikan.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'TANAH', 'TANAH0', 'Ket']",2,Pulau,2017,Sulawesi Utara,,Pulau Miangas,,,,Miangas,Miangas,,,,
,C:\WP3WT\PPKT\SHP\Alor\Pemilikan_Tanah_region.shp,"['ID', 'KODE', '_1', 'KETERANGAN', 'milik']",2,Pulau,2017,NTT,,Pulau Alor,,,,Alor,Alor,,,,
,C:\WP3WT\PPKT\SHP\Mega\GEO\Pemilikan.shp,"['Id', 'KODE', 'KETERANGAN', 'PEMANFAATN', 'No_SU', 'LUAS', 'ALAMAT', 'NAMA', 'WN', 'PROFESI', 'DOMISILI', 'ST_TNH', 'T_ST_TNH', 'NO_ST_TNH', 'THN', 'KET']",2,Pulau,2017,Bengkulu,,Pulau Mega,,,,Mega,Mega,,,,
,C:\WP3WT\PPKT\SHP\Pulau Rondo\PEMILIKAN_Rondo.shp,"['Id', 'Luas', 'Point', 'Kecamatan', 'Status', 'Tipe_Stat']",2,Pulau,2017,Aceh,,Pulau Rondo,,,,Rondo,Rondo,,,,
,C:\WP3WT\PPKT\SHP\SHP SALAUT\geografis\Pemilikan_Project.shp,"['Id', 'Nama', 'Luas', 'Pemilikan', 'Tipe_Stat', 'Status_tnh', 'Luas_ha', 'Ket']",2,Pulau,2017,Aceh,,Pulau SalautBesar,,,,SalautBesar,SalautBesar,,,,
,C:\WP3WT\PPKT\SHP\Pulau Batu Goyang\2. Pemilikan\Pulau BatuGoyang\Pulau Batugoyang.shp,"['Id', 'No_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan', 'Jenis']",2,Pulau,2017,Maluku,,Pulau BatuGoyang,,,,BatuGoyang,BatuGoyang,,,,
,C:\WP3WT\PPKT\SHP\PULAU_MANUK\Pemilikan_tanah.shp,"['Id', 'NO_IDENTIF', 'KODE_JENIS', 'KETERANGAN', 'Text', 'LUAS', 'Pemilikan']",2,Pulau,2017,Jawa Barat,,Pulau Manuk,,,,Manuk,Manuk,,,,
,C:\WP3WT\PPKT\SHP\Mangkai\Pemilikan\Pemilikan.shp,"['Id', 'No_Identif', 'Luas', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'Status_Tan', 'Tipe_Stat', 'No_Status', 'Tahun', 'Tahun_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau Mangkai,,,,Mangkai,Mangkai,,,,
,C:\WP3WT\PPKT\SHP\Tokong Berlayar\Pemilikan\Pemilikan.shp,"['Id', 'No_Identif', 'Luas', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNI_WNA', 'Profesi', 'Domisili', 'Status_tan', 'Tipe_Stat', 'No_Status', 'Tahun', 'Tahun_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau TokongBerlayar,,,,TokongBerlayar,TokongBerlayar,,,,
,C:\WP3WT\PPKT\SHP\Tokong Nanas\Pemilikan\Pemilikan.shp,"['Id', 'No_Identif', 'Luas_Meter', 'Alamat_Bid', 'Tipe_Pemil', 'Nama', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_Tan', 'Tipe_Stat', 'No_Status', 'Tahun', 'Tahun_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau TokongNanas,,,,TokongNanas,TokongNanas,,,,
,C:\WP3WT\PPKT\SHP\Pemilikan_Benggala.shp,"['Id', 'No_SU', 'Luas_M2', 'Alamat_Bid', 'Nama_Pemil', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_TNH', 'Tipe_Stat', 'No_Status', 'Tahun', 'Thn_Kuasa', 'Kode_Milik']",2,Pulau,2017,Aceh,,Pulau Benggala,,,,Benggala,Benggala,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kisar\SHP\Pemilikan.shp,"['ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS', 'STATUS0', 'NO_STATUS', 'TAHUN', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Kisar,,,,Kisar,Kisar,,,,
,C:\WP3WT\PPKT\SHP\Pulau Leti\Pemilikan_region_Project.shp,"['ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS', 'STATUS0', 'NO_STATUS', 'TAHUN', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Leti,,,,Leti,Leti,,,,
