a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec,,,,
a,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\01. Aceh 2010\Simpang Tiga\Pertanahan_Union.shp,[''],2,Pesisir,2010,Aceh,,Kecamatan SimpangTiga,,,,SimpangTiga,SimpangTiga,,,,
48737,F:\WP3WT\@ Integrasi Data\2013\1 Aceh 2013\2012\Kecamatan Arongan Lambalek\Penggunaan_Tanah.shp,"['Kode_PGT', 'Jenis_PGT', 'Manfaat']",2,Pesisir,2012,Aceh,,Kecamatan AronganLambalek,,,,AronganLambalek,AronganLambalek,,,,
272073,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\01. Aceh 2013\18 02 2014\Kecamatan Jangka Project\SHP JANGKA\Penggunaan_Jangka.shp,"['Kab_Code', 'Kec_Code', 'Kabupaten', 'Kecamatan', 'PGT', 'Kode_PGT', 'Keterangan', 'Penguasaan', 'Kode_Peng', 'Pemilikan', 'Kode_milik', 'Pemanfaata', 'Luas']",2,Pesisir,2013,Aceh,,Kecamatan Jangka,,,,Jangka,Jangka,,,,
123520,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\01. Aceh 2011\05 06 12\LAPORAN AKHIR_2011_ACEH\LAPORAN AKHIR PESISIR 2011\1. JAYA\JAYA_2011\SHP\PENGGUNAAN.shp,"['FID_Peng_B', 'ID_PENGSKR', 'PENGSKR', 'KECAMATAN', 'LUAS', 'PEMANFAATA']",2,Pesisir,2011,Aceh,,Kecamatan Jaya,,,,Jaya,Jaya,,,,
213849,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\01. Aceh 2012\12 11 12\Kec Johan Pahlawan\1.SHP\PENGGUNAAN TANAH.shp,"['KETERANGAN', 'Luas', 'kode']",2,Pesisir,2012,Aceh,,Kecamatan JohanPahlawan,,,,JohanPahlawan,JohanPahlawan,,,,
272826,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\01. Aceh 2013\18 02 2014\Kecamatan Kuala Project\SHP_KUALA\penggunaantanah_kuala3.shp,"['FID_pengg', 'FID_peng_1', 'FID_pgt_dr', 'FID_ACEH_B', 'FID_', 'AREA', 'PERIMETER', 'QCODE100', 'QNAME100', 'Pemilikan', 'Shape_Leng', 'Shape_Area', 'FID_sawah_', 'luas']",2,Pesisir,2013,Aceh,,Kecamatan Kuala,,,,Kuala,Kuala,,,,
73012,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\1. Aceh\KECAMATAN KUALA BARU\Digit\Peta\ptn_kualabaru.shp,"['Id', 'objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'ptnID', 'ptnObjName', 'Area', 'ptnRemark']",2,Pesisir,2017,Aceh,,Kecamatan KualaBaru,,,,KualaBaru,KualaBaru,,,,
48780,F:\WP3WT\@ Integrasi Data\2013\1 Aceh 2013\2012\Kecamatan Kuala Pesisir\Penggunaan_Kuala_Pesisir.shp,"['MANFAAT', 'Jenis_Guna', 'Kode_Guna']",2,Pesisir,2012,Aceh,,Kecamatan KualaPesisir,,,,KualaPesisir,KualaPesisir,,,,
349859,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\1. Aceh\LAPORAN AKHIR PESISIR\3. Labuhan Haji\SHP\penggunaan_LH.shp,"['Luas_ha', 'penggunaan']",2,Pesisir,2015,Aceh,,Kecamatan LabuhanHaji,,,,LabuhanHaji,LabuhanHaji,,,,
a,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\1. Aceh\LAPORAN AKHIR PESISIR\2. labuhan Haji Barat\shp\q_lhb_singleparttutupan3.shp,,2,Pesisir,2015,Aceh,,Kecamatan LabuhanHajiBarat,,,,LabuhanHajiBarat,LabuhanHajiBarat,,,,
350038,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\1. Aceh\LAPORAN AKHIR PESISIR\4. LABUHAN HAJI TIMUR\SHP\Penggunaan_lahan_labuhanhajitimur1.shp,"['OBJECTID', 'Keterangan', 'Luas_Ha', 'Shape_Leng', 'Shape_Area', 'Kode_Pengg', 'ORIG_FID', 'L_Pguan_Ha']",2,Pesisir,2015,Aceh,,Kecamatan LabuhanHajiTimur,,,,LabuhanHajiTimur,LabuhanHajiTimur,,,,
349195,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\1. Aceh\LAPORAN AKHIR PESISIR\1. MEUKEK\SHP\pgt_meukek2_.shp,"['qname', 'kode']",2,Pesisir,2015,Aceh,,Kecamatan Meukek,,,,Meukek,Meukek,,,,
214454,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\01. Aceh 2012\12 11 12\Kec Meureubo\Peta Hasil_Meureubo .Pdf\SHP\Penggunaan_Pemanfaatan_Kompilasi.shp,"['KETERANG_1', 'qKode', 'Id', 'Keterangan', 'Pemanfaata', 'Luas_M2']",2,Pesisir,2012,Aceh,,Kecamatan Meureubo,,,,Meureubo,Meureubo,,,,
132451,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\01. Aceh 2011\05 06 12\LAPORAN AKHIR_2011_ACEH\LAPORAN AKHIR PESISIR 2011\5. PANGA\Peta Pesisir Panga\Penggunaan_Code.shp,"['FID_Pgt2', 'OBJECTID', 'SHAPE_Leng', 'SHAPE_Area', 'Penggunaan', 'Pemanfaata', 'FID_Pemili', 'SHAPE_Le_1', 'SHAPE_Ar_1', 'Pemilikan', 'Penguasaan', 'Pngasan_Co', 'Penggn_Cod', 'Luas']",2,Pesisir,2011,Aceh,,Kecamatan Panga,,,,Panga,Panga,,,,
275569,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\01. Aceh 2013\Aceh 2013\Pesisir 2013\Kec.Peudada 2013\Kecamatan Peudada Project\SHP\Penggunaan.shp,"['Id', 'Penggunaan', 'luas', 'Ha']",2,Pesisir,2013,Aceh,,Kecamatan Peudada,,,,Peudada,Peudada,,,,
