a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
164690,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\15. DIY 2011\DATA SPATIAL PESISIR KULONPROGO 2011 (11 09 12)\KECAMATAN GALUR\Penggunaan_galur.shp,"['KEC', 'DESA', 'ID_1', 'KODE', 'TCK', 'PEMANFA', 'AREA', 'PERIMETER', 'HECTARES']",2,Pesisir,2011,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Galur,,,,Galur,Galur
164779,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\15. DIY 2011\DATA SPATIAL PESISIR KULONPROGO 2011 (11 09 12)\KECAMATAN PANJATAN\Penggunaan_Panjatan.shp,"['ID_1', 'KEC', 'KET', 'KODE', 'DESA', 'TCK', 'PEMANFA', 'AREA', 'PERIMETER', 'HECTARES']",2,Pesisir,2011,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Panjatan,,,,Panjatan,Panjatan
164857,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\15. DIY 2011\DATA SPATIAL PESISIR KULONPROGO 2011 (11 09 12)\KECAMATAN TEMON\Penggunaan_Temon.shp,"['OBJECTID', 'AREA', 'PERIMETER', 'HECTARES', 'KODE_1', 'PEMANFAATA', 'TCK']",1,Pesisir,2011,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Temon,,,,Temon,Temon
164944,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\15. DIY 2011\DATA SPATIAL PESISIR KULONPROGO 2011 (11 09 12)\KECAMATAN WATES\Penggunaan_Wates.shp,"['OBJECTID', 'AREA', 'PERIMETER', 'HECTARES', 'KODE_1', 'DESA', 'KECAMATAN', 'TCK', 'PEMANFA']",1,Pesisir,2011,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Wates,,,,Wates,Wates
325082,"F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\15. DIY 2014\PETA PESISIR BANTUL 2014\Kec, Sanden\Perubahan_penggunaan2.shp","['OBJECTID', 'PEMANFAATA', 'DESA', 'QBARU', 'PENGGUNAAN', 'Shape_Leng', 'Shape_Area', 'PERUBAHAN', 'KODE', 'Q']",2,Pesisir,2014,D.I. Yogyakarta,Kab. Bantul,Kecamatan Sanden,,,,Sanden,Sanden
324901,"F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\15. DIY 2014\PETA PESISIR BANTUL 2014\Kec, Kretek\Penggunaan_kretek.shp","['KODE_1', 'PENGGUNAAN', 'PEMANFAATA']",1,Pesisir,2014,D.I. Yogyakarta,Kab. Bantul,Kecamatan Kretek,,,,Kretek,Kretek
325213,"F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\15. DIY 2014\PETA PESISIR BANTUL 2014\Kec, Srandakan\Penggunaan.shp","['KODE', 'PEMANFAATA', 'DESA', 'QBARU', 'q']",2,Pesisir,2014,D.I. Yogyakarta,Kab. Bantul,Kecamatan Srandakan,,,,Srandakan,Srandakan
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
