a,b,c,objID,objType,objYear,wapName,wakName,wacName,ptnID,ptnObjName,area,ptnRemarks,kec,
157513,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\12. DKI 2011\SHP\Pulau Untung Jawa\pulau untung jawa penggunaan tanah.shp,"['AREA', 'HECTARES', 'NOMOR', 'ALAMAT_BID', 'NAMA', 'KEWARGANEG', 'PROFESI', 'CODE_PROFE', 'DOMISILI', 'KODE_JENIS', 'JENIS_PENG', 'PEMANFAATA', 'KETERANG_2']",1,Pulau Kecil,2011,Jakarta,Kabupaten Kep. Seribu,Pulau Untung Jawa,,,,,PulauUntungJawa,
94338,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\Cilincing@mi\PenggunaanCilincing@mi.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Cilincing,,,,,Cilincing,
94359,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\Pademangan@mi\PenggunaanPademangan@mi.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Pademangan,,,,,Pademangan,
94395,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\TanjungPriuk@mi\PenggunaanTanjungPriuk@mi.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Tanjung Priuk,,,,,TanjungPriuk,
94377,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\TanahKoja@mi\PenggunaanTanahKoja@mi.shp,"['ID', 'ID_TABEL', 'ID_WILYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Tanah Koja,,,,,TanahKoja,
233165,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU PARI\Penggunaan\pulau pari penggunaan.shp,"['IDENT', 'IDENT_1', 'KODE_JENIS', 'KELURAHAN', 'PULAU', 'AREA', 'PERIMETER', 'HECTARES', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Pari,,,,,PulauPari,
233069,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU AYER\Penggunaan\pulau ayer penggunaan.shp,"['KELURAHAN', 'PULAU', 'AREA', 'PERIMETER', 'HECTARES', 'NOMOR_IDEN', 'JENIS_PENG', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Ayer,,,,,PulauAyer,
233101,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU LAKI\Penggunaan\pulau laki penggunaan.shp,"['KELURAHAN', 'PULAU', 'AREA', 'PERIMETER', 'HECTARES', 'NOMOR_IDEN', 'KODE_JENIS', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Laki,,,,,PulauLaki,
157485,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\12. DKI 2011\SHP\Pulau Bidadari\pulau bidadari penggunaan tanah.shp,"['NO_IDENT', 'PULAU', 'KODE_JENIS', 'JENIS_PENG', 'AREA', 'PERIMETER', 'HECTARES', 'KETERANGAN']",1,Pulau Kecil,2011,Jakarta,Kabupaten Kep. Seribu,Pulau Bidadari,,,,,PulauBidadari,
233133,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU LANCANG\Penggunaan\pulau lancang penggunaan.shp,"['NOMOR', 'IDENT', 'NOMOR_URUT', 'PULAU', 'AREA', 'PERIMETER', 'HECTARES', 'KODE_JENIS', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Lancang,,,,,PulauLancang,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
