a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec,,,,
269454,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Hanya Data Biasa\14. Jateng 2012\16 03 13\Kota Pekalongan\Pekalongan Utara\3-Penggunaan\Penggunaan_Tanah_Pekalongan_Utara.shp,"['E', 'F', 'G', 'Nama_Layer', 'Tipe', 'No_Idfier', 'Kecamatan', 'Kode', 'Penggunaan']",2,Pesisir,2012,Jawa Tengah,,Kecamatan PekalonganUtara,,,,PekalonganUtara,PekalonganUtara,,,,
233532,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\14. Jateng 2012\#Dari Kanwil\Kab_Tegal\Suradadi\3-Penggunaan\Penggunaan_Tanah_Suradadi.shp,"['Kec', 'Penggunaan', 'Kode_G', 'No_Id', 'Nama_Layer']",2,Pesisir,2012,Jawa Tengah,,Kecamatan Surodadi,,,,Surodadi,Surodadi,,,,
288605,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\14. Jateng 2013\21 02 2014\WP3WT kabupaten pekalongan 2013\01_Kecamatan Siwalan\3_Penggunaan\Penggunaan Tanah Kec Siwalan.shp,"['Nama_Layer', 'Tipe', 'No_Idfier', 'Kecamatan', 'Kode', 'Penggunaan']",2,Pesisir,2013,Jawa Tengah,,Kecamatan Siwalan,,,,Siwalan,Siwalan,,,,
233567,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\14. Jateng 2012\#Dari Kanwil\Kab_Tegal\Warureja\3-Penggunaan\Penggunaan_Tanah_Warureja.shp,"['Kec', 'Penggunaan', 'Kode_G', 'No_Id', 'Nama_Layer']",2,Pesisir,2012,Jawa Tengah,,Kecamatan Warureja,,,,Warureja,Warureja,,,,
356500,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Kangkung\6. KECAMATAN KANGKUNG\PENGGUNAAN TANAH\PENGGUNAAN TANAH.shp,['QNAME'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Kangkung,,,,Kangkung,Kangkung,,,,
356081,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Cepiring\5. KECAMATAN CEPIRING\PENGGUNAAN TANAH\PENGGUNAAN TANAH.shp,['QNAME'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Cepiring,,,,Cepiring,Cepiring,,,,
356890,E:\Jawa Tengah.gdb\PENGGUNAAN_TANAH,['QNAME'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Patebon ,,,,Patebon ,Patebon ,,,,
356693,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Kota Kendal\3. KECAMATAN KOTA KENDAL\PENGGUNAAN TANAH\PENGGUNAAN TANAH.shp,['QNAME'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Kendal,,,,Kendal,Kendal,,,,
355846,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Brangsong\2. KECAMATAN BRANGSONG\PENGGUNAAN TANAH\PENGGUNAAN TANAH.shp,['QNAME'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Brangsong,,,,Brangsong,Brangsong,,,,
356289,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Kaliwungu\1. KECAMATAN KALIWUNGU\PENGGUNAAN TANAH\PENGGUNAAN TANAH.shp,['QNAME'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Kaliwungu,,,,Kaliwungu,Kaliwungu,,,,
357520,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab. Demak\Kec. Sayung\KECAMATAN SAYUNG\LANDUSE\PENGGUNAAN TANAH.shp,['LANDUSE'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Sayung,,,,Sayung,Sayung,,,,
357035,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab. Demak\Kec. Bonang\KECAMATAN BONANG\LANDUSE\PENGGUNAAN TANAH.shp,['LANDUSE'],2,Pesisir,2015,Jawa Tengah,,Kecamatan Bonang,,,,Bonang,Bonang,,,,
