a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Penggunaan_Benggala.shp,"['Id', 'Kode_PGT', 'Jenis_PGT', 'Ket']",2,Pulau,2017,Aceh,,Pulau Benggala,,,,Benggala,Benggala,,,,
,C:\WP3WT\PPKT\SHP\Peta Pulau Raya\Pengunaan_Tanah_Ok.shp,"['Id', 'No_Jenis', 'Jenis_Peng', 'Luas', 'Luas_Ha', 'Guna2011']",2,Pulau,2017,Aceh,,Pulau Raya,,,,Raya,Raya,,,,
,C:\WP3WT\PPKT\SHP\Pulau Rondo\PENGUASAAN_Rondo.shp,"['Id', 'PGT', 'Point', 'Kecamatan', 'Luas']",2,Pulau,2017,Aceh,,Pulau Rondo,,,,Rondo,Rondo,,,,
,C:\WP3WT\PPKT\SHP\Rusa\Penggunaan.shp,"['Id', 'Penggunaan', 'Pmanfaatan', 'Luas']",2,Pulau,2017,Aceh,,Pulau Rusa,,,,Rusa,Rusa,,,,
,C:\WP3WT\PPKT\SHP SALAUT\geografis\Penggunaan_Project.shp,"['Id', 'Nama', 'Luas', 'PGT', 'Manfaat', 'ket']",2,Pulau,2017,Aceh,,Pulau SalautBesar,,,,SalautBesar,SalautBesar,,,,
,C:\WP3WT\PPKT\SHP SIMEULUE CUT\PENGGUNAAN.shp,"['Id', 'PULAU', 'PGT', 'Luas_1', 'Luas_Ha']",2,Pulau,2017,Aceh,,Pulau SimeulueCut,,,,SimeulueCut,SimeulueCut,,,,
,C:\WP3WT\PPKT\SHP\Deli\DATA\DELI\Penggunaan_edit.shp,"['QNAME', 'PEMANFAATA', 'ID', 'AREA', 'PERIMETER', 'HECTARES', 'QCODE']",2,Pulau,2017,Banten,,Pulau Deli,,,,Deli,Deli,,,,
,C:\WP3WT\PPKT\SHP\Enggano\GEO\Enggano_Penggunaan1.shp,"['IDENTIFIER', 'J_PGUNAAN', 'KET_PGN', 'KET_PMFTN']",2,Pulau,2017,Bengkulu,,Pulau Enggano,,,,Enggano,Enggano,,,,
,C:\WP3WT\PPKT\SHP\Mega\GEO\Penggunaan.shp,"['Id', 'KODE', 'KETERANGAN', 'KET2']",2,Pulau,2017,Bengkulu,,Pulau Mega,,,,Mega,Mega,,,,
,C:\WP3WT\PPKT\SHP\PULAU_MANUK\Penggunaan_tanah.shp,"['NO_IDENTIF', 'KODE_JENIS', 'KETERANGAN', 'LUAS', 'TEXT']",2,Pulau,2017,Jawa Barat,,Pulau Manuk,,,,Manuk,Manuk,,,,
,C:\WP3WT\PPKT\SHP\3-Penggunaan\Pengguanaan Nusakambangan.shp,"['Nama_Layer', 'Tipe', 'No_Idfier', 'Jns_PGT', 'Ket_PGT']",2,Pulau,2017,Jawa Tengah,,Pulau NusaKambangan,,,,NusaKambangan,NusaKambangan,,,,
,C:\WP3WT\PPKT\SHP\nusabarong atau barung\penggunaan.shp,"['AREA', 'PERIMETER', 'HECTARES', 'ID', 'PENGGUNAAN', 'PULAU']",2,Pulau,2017,Jawa Timur,,Pulau NusaBarong,,,,NusaBarong,NusaBarong,,,,
,C:\WP3WT\PPKT\SHP\panehan\penggunaan.shp,"['ID', 'LANDUSE', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Jawa Timur,,Pulau Panehan,,,,Panehan,Panehan,,,,
,C:\WP3WT\PPKT\SHP\sekel\penggunaan.shp,"['KECAMATAN', 'KABUPATEN', 'AREA', 'PERIMETER', 'HECTARES', 'PULAU', 'PENGGUNAAN', 'ID']",2,Pulau,2017,Jawa Timur,,Pulau Sekel,,,,Sekel,Sekel,,,,
,C:\WP3WT\PPKT\SHP\P. Maratua\SHP\Penggunaan_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN', 'Area', 'Hectares']",2,Pulau,2017,Kalimantan Timur,,Pulau Maratua,,,,Maratua,Maratua,,,,
,C:\WP3WT\PPKT\SHP\P. Sambit\SHP\Penggunaan_point.shp,"['NO', 'IDENTIFIER', 'JENIS', 'KETERANGAN']",2,Pulau,2017,Kalimantan Timur,,Pulau Sambit,,,,Sambit,Sambit,,,,
,C:\WP3WT\PPKT\SHP\Sebatik\penggunaan.shp,"['FID_', 'AREA', 'PERIMETER', 'Q_', 'Q_ID', 'QCODE', 'QNAME', 'KODE', 'Guna_Bidan']",2,Pulau,2017,Kalimantan Timur,,Pulau Sebatik,,,,Sebatik,Sebatik,,,,
,C:\WP3WT\PPKT\SHP\Batu Berhanti\P_Batuberhenti_Penggunaan.shp,"['Id', 'Penggunaan', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau BatuBerhanti,,,,BatuBerhanti,BatuBerhanti,,,,
,C:\WP3WT\PPKT\SHP\Damar\Penggunaan_Damar.shp,"['KODE_PENGG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau Damar,,,,Damar,Damar,,,,
,C:\WP3WT\PPKT\SHP\P  Iyu Kecil\penggunaan tanah final.shp,"['AREA', 'PERIMETER', 'ID', 'PENGGUNAAN', 'JENIS', 'HA', 'HECTARES', 'guna_2011']",2,Pulau,2017,Kep Riau,,Pulau IyuKecil,,,,IyuKecil,IyuKecil,,,,
,C:\WP3WT\PPKT\SHP\P Karimun Kecil\peta penggunaan tanah final.shp,"['ID', 'AREA', 'PERIMETER', 'PENGGUNAAN', 'JENIS', 'HA', 'HECTARES', 'guna_2011']",2,Pulau,2017,Kep Riau,,Pulau KarimunKecil,,,,KarimunKecil,KarimunKecil,,,,
