a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
357748,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\15. DIY ZPPK\LAYER (SHP)\KECAMATAN GALUR\penguasaan_galur.shp,"['FID_ADM_DE', 'DESA', 'ID_DESA', 'KECAMATAN', 'FID_PENGUA', 'PENGUASAAN', 'O_KET', 'O_REKLAS', 'AREA', 'PERIMETER', 'HECTARES']",2,Pesisir,2015,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Galur,,,,Galur,Galur
357872,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\15. DIY ZPPK\LAYER (SHP)\KECAMATAN PANJATAN\penguasaan_panjatan.shp,"['FID_ADM_DE', 'DESA', 'ID_DESA', 'KECAMATAN', 'FID_PENGUA', 'PENGUASAAN', 'O_KET', 'O_REKLAS', 'AREA', 'PERIMETER', 'HECTARES']",2,Pesisir,2015,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Panjatan,,,,Panjatan,Panjatan
357996,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\15. DIY ZPPK\LAYER (SHP)\KECAMATAN TEMON\penguasaan_temon.shp,"['FID_ADM_DE', 'DESA', 'ID_DESA', 'KECAMATAN', 'FID_PENGUA', 'PENGUASAAN', 'O_KET', 'O_REKLAS', 'AREA', 'PERIMETER', 'HECTARES']",2,Pesisir,2015,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Temon,,,,Temon,Temon
358136,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\15. DIY ZPPK\LAYER (SHP)\KECAMATAN WATES\penguasaan_wates.shp,"['FID_ADM_DE', 'DESA', 'ID_DESA', 'KECAMATAN', 'FID_PENGUA', 'PENGUASAAN', 'O_KET', 'O_REKLAS', 'AREA', 'PERIMETER', 'HECTARES']",2,Pesisir,2015,D.I. Yogyakarta,Kab. Kulon Progo,Kecamatan Wates,,,,Wates,Wates
325068,"F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\15. DIY 2014\PETA PESISIR BANTUL 2014\Kec, Sanden\Penguasaan_sanden.shp","['KECAMATAN', 'DESA', 'PENGUASAAN', 'KETERANGAN']",2,Pesisir,2014,D.I. Yogyakarta,Kab. Bantul,Kecamatan Sanden,,,,Sanden,Sanden
324909,"F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\15. DIY 2014\PETA PESISIR BANTUL 2014\Kec, Kretek\Penguasaan_kretek.shp","['KODE', 'PENGUASAAN', 'KETERANGAN', 'DESA', 'KECAMATAN', 'AREA', 'HECTARES', 'HECTARES_1', 'FID_Zona8', 'FID_Pemili', 'Pemilika_3', 'FID_Kretek', 'rdtk', 'KODE_1', 'PEMANFAATA', 'REKLAS_PEN', 'KESESUAIAN', 'Rekl_rdtk', 'Zona_8', 'Zon_Pem_Kw', 'FID_Kemamp', 'FID_Lereng', 'LERENG_', 'FID_Zona_1', 'kemampuan', 'Luas', 'Luas_Bar', 'Qbar', 'OBJECTID', 'Shape_Leng', 'Shape_Area']",1,Pesisir,2014,D.I. Yogyakarta,Kab. Bantul,Kecamatan Kretek,,,,Kretek,Kretek
325220,"F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\15. DIY 2014\PETA PESISIR BANTUL 2014\Kec, Srandakan\Penguasaan_Srandakan.shp","['KODE', 'PENGUASAAN', 'KETERANGAN', 'DESA', 'KECAMATAN', 'AREA', 'HECTARES', 'HECTARES_1']",1,Pesisir,2014,D.I. Yogyakarta,Kab. Bantul,Kecamatan Srandakan,,,,Srandakan,Srandakan
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
