a,b,c,objID,objType,objYear,wapName,wakName,wacName,psnID,psnObjName,area,psnRemarks,kec,
157520,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\12. DKI 2011\SHP\Pulau Untung Jawa\pulau untung jawa penguasaan tanah.shp,"['AREA', 'NOMOR', 'ALAMAT_BID', 'NAMA', 'KEWARGANEG', 'PROFESI', 'CODE_PROFE', 'DOMISILI', 'KODE_JENIS', 'JENIS_PENG', 'CODE_ALAS_', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN', 'HECTARES']",1,Pulau Kecil,2011,Jakarta,Kabupaten Kep. Seribu,Pulau Untung Jawa,,,,,PulauUntungJawa,
94366,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\Pademangan@mi\PenguasaanPademangan@mi.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Pademangan,,,,,Pademangan,
94402,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\TanjungPriuk@mi\PenguasaanTanjungPriuk@mi.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Tanjung Priuk,,,,,TanjungPriuk,
94382,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\TanahKoja@mi\PenguasaanTanahKoja@mi.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'KETERANGAN', 'LUAS', 'JENIS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Tanah Koja,,,,,TanahKoja,
94345,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\12. DKI 2010\HasilUpdatingDKI2010@mi\Cilincing@mi\PenguasaanCilincing@mi.shp,"['ID_TABEL', 'ID_WILAYAH', 'ID', 'WILAYAH', 'JENIS', 'KETERANGAN', 'LUAS', 'SIMBOL']",2,Pesisir,2010,Jakarta,Kota Jakarta Utara,Kecamatan Cilincing,,,,,Cilincing,
233172,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU PARI\Penguasaan\pulau pari penguasaan.shp,"['IDENT', 'IDENT_1', 'NAMA', 'WNA_WNI_', 'QPROFESI', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KELURAHAN', 'PULAU', 'NOMOR', 'AREA', 'PERIMETER', 'HECTARES', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Pari,,,,,PulauPari,
233076,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU AYER\Penguasaan\pulau ayer penguasaan.shp,"['KELURAHAN', 'PULAU', 'AREA', 'PERIMETER', 'HECTARES', 'NOMOR_IDEN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Ayer,,,,,PulauAyer,
233108,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU LAKI\Penguasaan\pulau laki penguasaan.shp,"['KELURAHAN', 'PULAU', 'AREA', 'PERIMETER', 'HECTARES', 'NOMOR_IDEN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Laki,,,,,PulauLaki,
157492,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\12. DKI 2011\SHP\Pulau Bidadari\pulau bidadari penguasaan tanah.shp,"['NO_IDENT', 'PULAU', 'NAMA', 'JENIS_PENG', 'ALAS_PNGUA', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",1,Pulau Kecil,2011,Jakarta,Kabupaten Kep. Seribu,Pulau Bidadari,,,,,PulauBidadari,
233140,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\12. DKI Jakarta 2012\SHP\PULAU LANCANG\Penguasaan\pulau lancang penguasaan.shp,"['NOMOR', 'IDENT', 'NOMOR_URUT', 'PULAU', 'NAMA', 'WNA_WNI_', 'PROFESI_1', 'PROFESI', 'DOMISILI_1', 'DOMISILI', 'AREA', 'PERIMETER', 'HECTARES', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN']",1,Pulau Kecil,2012,Jakarta,Kabupaten Kep. Seribu,Pulau Lancang,,,,,PulauLancang,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
