a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec,,,,
356507,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Kangkung\6. KECAMATAN KANGKUNG\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,"['Penguasaan', 'KDPENG']",2,Pesisir,2015,Jawa Tengah,,Kecamatan Kangkung,,,,Kangkung,Kangkung,,,,
356088,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Cepiring\5. KECAMATAN CEPIRING\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,"['Penguasaan', 'KDPENG']",2,Pesisir,2015,Jawa Tengah,,Kecamatan Cepiring,,,,Cepiring,Cepiring,,,,
356897,E:\Jawa Tengah.gdb\PENGUASAAN_TANAH,"['Penguasaan', 'KDPENG']",2,Pesisir,2015,Jawa Tengah,,Kecamatan Patebon ,,,,Patebon ,Patebon ,,,,
356700,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Kota Kendal\3. KECAMATAN KOTA KENDAL\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,"['Penguasaan', 'KDPENG']",2,Pesisir,2015,Jawa Tengah,,Kecamatan Kendal,,,,Kendal,Kendal,,,,
355853,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Brangsong\2. KECAMATAN BRANGSONG\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,"['Penguasaan', 'KDPeng']",2,Pesisir,2015,Jawa Tengah,,Kecamatan Brangsong,,,,Brangsong,Brangsong,,,,
356303,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab Kendal\Kec. Kaliwungu\1. KECAMATAN KALIWUNGU\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,"['Penguasaan', 'KD_PENGUAS']",2,Pesisir,2015,Jawa Tengah,,Kecamatan Kaliwungu,,,,Kaliwungu,Kaliwungu,,,,
357579,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab. Demak\Kec. Sayung\KECAMATAN SAYUNG\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,[''],2,Pesisir,2015,Jawa Tengah,,Kecamatan Sayung,,,,Sayung,Sayung,,,,
357144,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab. Demak\Kec. Bonang\KECAMATAN BONANG\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,[''],2,Pesisir,2015,Jawa Tengah,,Kecamatan Bonang,,,,Bonang,Bonang,,,,
357372,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\14. Jawa Tengah\Kab. Demak\Kec. Karang Tengah\KECAMATAN KARANGTENGAH\PENGUASAAN TANAH\PENGUASAAN TANAH.shp,"['Penguasaan', 'Kode']",2,Pesisir,2015,Jawa Tengah,,Kecamatan KarangTengah,,,,KarangTengah,KarangTengah,,,,
100413,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\14. Jawa Tengah 2010\Spasial\Kec Nusawungu\1_Penguasaan\Penguasaan_Tanah_Kecamatan_Nusawungu.shp,"['Pengus', 'Kode', 'Penguasaan']",2,Pesisir,2010,Jawa Tengah,,Kecamatan Nusawungu,,,,Nusawungu,Nusawungu,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
