a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Penguasaan_Benggala.shp,"['Id', 'Nama', 'Kewarga', 'Profesi', 'Domisili', 'Jenis_Kuas', 'Bukti_Kuas', 'Tahun_Kuas', 'Ket']",2,Pulau,2017,Aceh,,Pulau Benggala,,,,Benggala,Benggala,,,,
,C:\WP3WT\PPKT\SHP\Peta Pulau Raya\Penguasaan_Tanah.shp,"['FID_Pengua', 'Id', 'Nama_Kuasa', 'WN_Kuasa', 'Prof_Kuasa', 'Dom_Kuasa', 'Jns_Kuasa', 'Alas_Kuasa', 'Luas_M2', 'Luas_Ha', 'kuasa_2011']",2,Pulau,2017,Aceh,,Pulau Raya,,,,Raya,Raya,,,,
,C:\WP3WT\PPKT\SHP\Pulau Rondo\PENGUASAAN_Rondo.shp,"['Id', 'Point', 'Kecamatan', 'Status', 'Tipe_Stat', 'Penguasaan', 'Luas']",2,Pulau,2017,Aceh,,Pulau Rondo,,,,Rondo,Rondo,,,,
,C:\WP3WT\PPKT\SHP\Rusa\Penguasaan.shp,"['Id', 'Penguasaan', 'Luas']",2,Pulau,2017,Aceh,,Pulau Rusa,,,,Rusa,Rusa,,,,
,C:\WP3WT\PPKT\SHP SALAUT\geografis\Penguasaan_Project.shp,"['Id', 'Nama', 'Penguasaan', 'Luas_Ha', 'Luas', 'Kode']",2,Pulau,2017,Aceh,,Pulau SalautBesar,,,,SalautBesar,SalautBesar,,,,
,C:\WP3WT\PPKT\SHP SIMEULUE CUT\PENGUASAAN.shp,"['Id', 'PULAU', 'LUAS', 'PENGUASAAN']",2,Pulau,2017,Aceh,,Pulau SimeulueCut,,,,SimeulueCut,SimeulueCut,,,,
,C:\WP3WT\PPKT\SHP\Deli\DATA\DELI\penguasaan_tanah_deli.shp,"['NO_IDENTIF', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN', 'LUAS', 'TEXT']",2,Pulau,2017,Banten,,Pulau Deli,,,,Deli,Deli,,,,
,C:\WP3WT\PPKT\SHP\Enggano\GEO\Enggano_Penguasaan1.shp,"['IDENTIFIER', 'NAMA_1', 'WN', 'PRF', 'DOM', 'J_PGSN', 'J_PGSN2', 'A_PGSN']",2,Pulau,2017,Bengkulu,,Pulau Enggano,,,,Enggano,Enggano,,,,
,C:\WP3WT\PPKT\SHP\Mega\GEO\Penguasaan.shp,"['Id', 'KODE', 'KETERANGAN', 'PEMANFAATN', 'NAMA', 'WN', 'PROFESI', 'DOMISILI', 'JNS_PGS', 'ALS_PGS', 'THN', 'KET']",2,Pulau,2017,Bengkulu,,Pulau Mega,,,,Mega,Mega,,,,
,C:\WP3WT\PPKT\SHP\PULAU_MANUK\Penguasaan_tanah.shp,"['NO_IDENTIF', 'NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN', 'LUAS', 'TEXT']",2,Pulau,2017,Jawa Barat,,Pulau Manuk,,,,Manuk,Manuk,,,,
,C:\WP3WT\PPKT\SHP\1-Penguasaan\Penguasaan Nusakambangan.shp,"['Nama_Layer', 'Tipe', 'No_Idfier', 'Jns_Kuasa', 'Ket_Kuasa']",2,Pulau,2017,Jawa Tengah,,Pulau NusaKambangan,,,,NusaKambangan,NusaKambangan,,,,
,C:\WP3WT\PPKT\SHP\nusabarong atau barung\penguasaan.shp,"['AREA', 'PERIMETER', 'HECTARES', 'ID', 'PENGUASAAN']",2,Pulau,2017,Jawa Timur,,Pulau NusaBarong,,,,NusaBarong,NusaBarong,,,,
,C:\WP3WT\PPKT\SHP\panehan\penguasaan.shp,"['ID', 'PENGUASAAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Jawa Timur,,Pulau Panehan,,,,Panehan,Panehan,,,,
,C:\WP3WT\PPKT\SHP\sekel\penguasaan.shp,"['KECAMATAN', 'KABUPATEN', 'AREA', 'PERIMETER', 'HECTARES', 'PULAU', 'ID', 'PENGUASAAN']",2,Pulau,2017,Jawa Timur,,Pulau Sekel,,,,Sekel,Sekel,,,,
,C:\WP3WT\PPKT\SHP\P. Maratua\SHP\Penguasaan2_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'Area', 'Hectares']",2,Pulau,2017,Kalimantan Timur,,Pulau Maratua,,,,Maratua,Maratua,,,,
,C:\WP3WT\PPKT\SHP\P. Sambit\SHP\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'TANAH', 'TANAH0', 'KETERANGAN']",2,Pulau,2017,Kalimantan Timur,,Pulau Sambit,,,,Sambit,Sambit,,,,
,C:\WP3WT\PPKT\SHP\Sebatik\penguasaan.shp,"['FID_', 'AREA', 'PERIMETER', 'O_', 'O_ID', 'OCODE', 'ONAME']",2,Pulau,2017,Kalimantan Timur,,Pulau Sebatik,,,,Sebatik,Sebatik,,,,
,C:\WP3WT\PPKT\SHP\Batu Berhanti\P_Batuberhenti_Penguasaan.shp,"['Id', 'Penguasaan', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau BatuBerhanti,,,,BatuBerhanti,BatuBerhanti,,,,
,C:\WP3WT\PPKT\SHP\Damar\Penguasaan_Damar.shp,"['NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau Damar,,,,Damar,Damar,,,,
,C:\WP3WT\PPKT\SHP\P  Iyu Kecil\penguasaan tanah final.shp,"['AREA', 'PERIMETER', 'ID', 'PENGGUNAAN', 'JENIS', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'PENGUASAAN', 'LUAS_M2_', 'ALAMAT_BID', 'TIPE_PEMIL', 'STATUS_TAN', 'HA', 'TIPE_TANAH', 'NO_ID', 'NAMA', 'HECTARES', 'kuasa_2011']",2,Pulau,2017,Kep Riau,,Pulau IyuKecil,,,,IyuKecil,IyuKecil,,,,
,C:\WP3WT\PPKT\SHP\P Karimun Kecil\peta penguasaan tanah final.shp,"['PENGUASAAN', 'COUNT', 'FIRST_NAMA', 'FIRST_KEWA', 'FIRST_PROF', 'FIRST_DOMI', 'SUM_HA', 'AREA', 'PERIMETER', 'HECTARES', 'kuasa_2011']",2,Pulau,2017,Kep Riau,,Pulau KarimunKecil,,,,KarimunKecil,KarimunKecil,,,,
,C:\WP3WT\PPKT\SHP\Kepala\penguasaan tanah_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'Ket', 'Keterang_1']",2,Pulau,2017,Kep Riau,,Pulau Kepala,,,,Kepala,Kepala,,,,
,C:\WP3WT\PPKT\SHP\Mangkai\Penguasaan\Penguasaan.shp,"['Id', 'No_Identif', 'Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'Jenis_Peng', 'Alas_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau Mangkai,,,,Mangkai,Mangkai,,,,
,C:\WP3WT\PPKT\SHP\Nipa\P_Nipah_Penguasaan.shp,"['ID', 'Penguasaan', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Nipa,,,,Nipa,Nipa,,,,
,C:\WP3WT\PPKT\SHP\Nongsa\P_Nongsa_Penguasaan.shp,"['FID_P_Nong', 'Id', 'Penguasaan', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Nongsa,,,,Nongsa,Nongsa,,,,
