a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
50085,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\11. Banten 2012\2012\Laporan Akhir WP3WT 2012\SHP\Tirtayasa\pemilikan.shp,['PEMILIKAN'],-,-,2012,Banten,serang,Tirtayasa,-,-,-,-,Tirtayasa
55216,F:\WP3WT\@ Integrasi Data\2013\20 Kalbar 2013\2011\Kecamatan Embaloh Hulu\Pemilikan_tanah_disolve.shp,['PEMILIKAN'],-,-,2011,Kalimantan Barat,,Embaloh Hulu,-,-,-,-,Embaloh_Hulu
151949,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\04 04 2012\Peta\KOTA AGUNG TIMUR\pemilikan_ok.shp,['Pemilikan'],-,-,2011,Lampung,-,Kota Agung Timur,-,-,-,-,Kota_Agung_Timur
152570,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\04 04 2012\Peta\PESISIR KOTA AGUNG\pemilikan.shp,['Pemilikan'],-,-,2011,Lampung,-,kota agung,-,-,-,-,kota_agung
152660,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\04 04 2012\Peta\PESISIR KOTA AGUNG BARAT\pemilikan.shp,['pemilikan'],-,-,2011,Lampung,-,kota agung barat,-,-,-,-,kota_agung_barat
154284,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\04 04 2012\WP3WT2011LAMPUNG\BETUAH\pemilikan.shp,['Pemilikan'],-,-,2011,Lampung,-,Betuah,-,-,-,-,Betuah
157107,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\10. Lampung 2011\21 11 2012\Pulau Batu Kecil\SHP\pemilikan.shp,['Pemilikan'],-,-,2011,Lampung,-,Pulau Batu Kecil,-,-,-,-,Pulau_Batu_Kecil
223903,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\07. Bengkulu 2012\09 01 13\2012_WP3WT_KAUR\PETA\PETA P4T\Kaur_Tengah\Peta_Kaurtengah_Pemilikan.shp,['PEMILIKAN'],-,-,2012,Bengkulu,-,Kaur Tengah,-,-,-,-,Kaur_Tengah
223938,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\07. Bengkulu 2012\09 01 13\2012_WP3WT_KAUR\PETA\PETA P4T\Semindanggumay\Peta_Semindanggumay_Pemilikan.shp,['PEMILIKAN'],-,-,2012,Bengkulu,-,Semidang gumay,-,-,-,-,Semidang_gumay
223966,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2012\Ada Spasial\07. Bengkulu 2012\09 01 13\2012_WP3WT_KAUR\PETA\PETA P4T\Tanjungkemuning\Peta_Tanjungkemuning_Pemilikan.shp,['PEMILIKAN'],-,-,2012,Bengkulu,-,Tanjung kemuning,-,-,-,-,Tanjung_kemuning
287849,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\13. Jabar 2013\18 09 2013\laporan pesisir 2013\peta\kabupaten indramayu\shp\pemilikan_shp\pemilikan_kec_kandanghaur_kab_indramayu_geo.shp,['PEMILIKAN'],-,-,2013,Jawa Barat,Indramayu,kandang haur,-,-,-,-,kandang_haur
287856,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\13. Jabar 2013\18 09 2013\laporan pesisir 2013\peta\kabupaten indramayu\shp\pemilikan_shp\pemilikan_kec_losarang_kab_indramayu_geo.shp,['PEMILIKAN'],-,-,2013,Jawa Barat,Indramayu,losarang,-,-,-,-,losarang
287863,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\13. Jabar 2013\18 09 2013\laporan pesisir 2013\peta\kabupaten indramayu\shp\pemilikan_shp\pemilikan_kec_patrol_kab_indramayu_geo.shp,['PEMILIKAN'],-,-,2013,Jawa Barat,Indramayu,patrol,-,-,-,-,patrol
287870,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\13. Jabar 2013\18 09 2013\laporan pesisir 2013\peta\kabupaten indramayu\shp\pemilikan_shp\pemilikan_kec_sukra_kab_indramayu_geo.shp,['PEMILIKAN'],-,-,2013,Jawa Barat,Indramayu,Sukra,-,-,-,-,Sukra
288460,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\13. Jabar 2013\18 09 2013\laporan pesisir 2013\peta\kabupaten subang\shp\pemilikan_shp\pemilikan_kec_pusakanagara_kab_subang_geo.shp,['PEMILIKAN'],-,-,2013,Jawa Barat,Subang,Pusaka nagara,-,-,-,-,Pusaka_nagara
316445,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\13. Jawa Barat\wp3wt 2014-jabar\cupi\lemahwungkuk\shp_lemahwungkuk\pemilikan_lemahwungkuk_dissolve.shp,['pemilikan'],-,-,2014,Jawa Barat,Indramayu,lemah wungkuk,-,-,-,-,lemah_wungkuk
340150,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2014\30. Maluku\WP3WT Tehoru 2014\SHP\Pemilikan_kawasan.shp,['Pemilikan'],-,-,2014,Maluku,-,Tehoru,-,-,-,-,Tehoru
354865,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2015\13. Jawa Barat\Kabupaten Sukabumi\Kecamatan Cisolok\shp_fix\pemilikan_dissolve.shp,['pemilikan'],-,-,2015,Jawa Barat,Sukabumi,Cisolok,-,-,-,-,Cisolok
