url,prov,Kec,Nama File,Nama Feature
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Adipala\ptn_adipala.shp,Jawa Tengah,Adipala,ptn_adipala.shp,ptn_adipala
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Bantarsari\ptn_bantarsari.shp,Jawa Tengah,Bantarsari,ptn_bantarsari.shp,ptn_bantarsari
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Binangun\ptn_binangun.shp,Jawa Tengah,Binangun,ptn_binangun.shp,ptn_binangun
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Cilacap Tengah\ptn_cilacaptengah.shp,Jawa Tengah,Cilacap_Tengah,ptn_cilacaptengah.shp,ptn_cilacaptengah
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Cilacap Utara\ptn_cilacaputara.shp,Jawa Tengah,Cilacap_Utara,ptn_cilacaputara.shp,ptn_cilacaputara
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Jeruklegi\ptn_jeruklegi.shp,Jawa Tengah,Jeruklegi,ptn_jeruklegi.shp,ptn_jeruklegi
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Kawunganten\ptn_kawunganten.shp,Jawa Tengah,Kawunganten,ptn_kawunganten.shp,ptn_kawunganten
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Kesugihan\ptn_kesugihan.shp,Jawa Tengah,Kesugihan,ptn_kesugihan.shp,ptn_kesugihan
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2010\Kabupaten Cilacap\Kecamatan Patimuan\ptn_patimuan.shp,Jawa Tengah,Patimuan,ptn_patimuan.shp,ptn_patimuan
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Brebes\Kecamatan Brebes\ptn_brebes.shp,Jawa Tengah,Brebes,ptn_brebes.shp,ptn_brebes
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Brebes\Kecamatan Bulakamba\ptn_bulakamba.shp,Jawa Tengah,Bulakamba,ptn_bulakamba.shp,ptn_bulakamba
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Brebes\Kecamatan Losari\ptn_losari.shp,Jawa Tengah,Losari,ptn_losari.shp,ptn_losari
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Brebes\Kecamatan Tanjung\ptn_tanjung.shp,Jawa Tengah,Tanjung,ptn_tanjung.shp,ptn_tanjung
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Brebes\Kecamatan Wanasari\ptn_wanasari.shp,Jawa Tengah,Wanasari,ptn_wanasari.shp,ptn_wanasari
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Cilacap\Kecamatan Kampung Laut\ptn_kampunglaut.shp,Jawa Tengah,Kampung_Laut,ptn_kampunglaut.shp,ptn_kampunglaut
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Kota Tegal\Kecamatan Tegal Barat\ptn_tegalbarat.shp,Jawa Tengah,Tegal_Barat,ptn_tegalbarat.shp,ptn_tegalbarat
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Kota Tegal\Kecamatan Tegal Timur\ptn_tegaltimur.shp,Jawa Tengah,Tegal_Timur,ptn_tegaltimur.shp,ptn_tegaltimur
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2011\Wonogiri\Kecamatan Paranggupito\ptn_paranggupito.shp,Jawa Tengah,Paranggupito,ptn_paranggupito.shp,ptn_paranggupito
