a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
56376,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Berau\Kecamatan Biatan\ptn_biatan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,biatan
56397,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Berau\Kecamatan Pulau Derawan\ptn_pulauDerawan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,pulauDerawan
56418,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Berau\Kecamatan Sambaliung\ptn_sambaliung.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,sambaliung
56439,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Berau\Kecamatan Tabalar\ptn_tabalar.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,tabalar
56460,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Berau\Kecamatan Talisayan\ptn_talisayan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,talisayan
56484,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Nunukan\Kecamatan Krayan\ptn_krayan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,krayan
56505,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Nunukan\Kecamatan Krayan Selatan\ptn_krayanSelatan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,krayanSelatan
56526,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2010\Kabupaten Nunukan\Kecamatan Lumbis\ptn_lumbis.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,lumbis
56770,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2012\Kabupaten Kutai Barat\Kecamatan Long Apari\ptn_longApari.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,longApari
56796,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2012\Kabupaten Malinau\Kecamatan Kayan Hulu\ptn_kayanHulu.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,kayanHulu
56817,F:\WP3WT\@ Integrasi Data\2013\23 Kaltim\2012\Kabupaten Malinau\Kecamatan Kayan Selatan\ptn_kayanSelatan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Kalimantan Timur,-,-,-,-,-,-,kayanSelatan
60269,F:\WP3WT\@ Integrasi Data\2013\33 Papua Barat OK\2010\01_Budd\ptn_budd.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Papua Barat,-,-,-,-,-,-,budd
60297,F:\WP3WT\@ Integrasi Data\2013\33 Papua Barat OK\2010\02_Fani\ptn_fani.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Papua Barat,-,-,-,-,-,-,fani
60325,F:\WP3WT\@ Integrasi Data\2013\33 Papua Barat OK\2010\03_MioskasunDanMiosbeba\ptn_miokasunMiosbeba.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",-,-,-,Papua Barat,-,-,-,-,-,-,miokasunMiosbeba
