a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
68448,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Bengkulu Tengah\Kecamatan Pondok Kelapa\psn_pondokKelapa.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,pondokKelapa
68470,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Bengkulu Utara\Kecamatan Air Napal\psn_airNapal.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,airNapal
68494,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Kaur\Kecamatan Kaur Tengah\psn_kaurTengah.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,kaurTengah
68515,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Kaur\Kecamatan Semidang Gumay\psn_semidangGumay.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,semidangGumay
68536,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Kaur\Kecamatan Tanjung Kemuning\psn_tanjungKemuning.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,tanjungKemuning
68562,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Bengkulu Utara\Kecamatan Air Besi\psn_airBesi.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,airBesi
68583,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Bengkulu Utara\Kecamatan Batik Nau\psn_batikNau.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,batikNau
68604,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Bengkulu Utara\Kecamatan Lais\psn_lais.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,lais
68670,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Seluma\Kecamatan Seluma Timur\psn_selumaTimur.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,selumaTimur
68698,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Bunga Mas\psn_bungaMas.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,bungaMas
